Timestamp,お名前(ハンドル名。10文字以内),メッセージ(20文字以内)
12/13/2009 0:56:13,KK,期待していますがんばってください。あかつきもミクも
12/13/2009 0:56:44,qiv,もってっけー
12/13/2009 0:57:08,いとはむ,なんかおもしろそうじゃん？
12/13/2009 0:57:41,ニンジャ,あかつき応援しています！
12/13/2009 0:58:34,foxhanger,ビーナスもみっくみく
12/13/2009 0:59:10,なかお
12/13/2009 0:59:50,taujun
12/13/2009 0:59:55,Ryamu,いつか、また会えますように。
12/13/2009 1:00:16,b2ox
12/13/2009 1:00:50,竹居正浩,日本の宇宙開発を応援します
12/13/2009 1:00:57,のむのむ,キャラクターに感情移入し、あらゆるものに八百万の神を見出す日本人に関心を持たせる有効手段だと思う。
12/13/2009 1:02:02,rain_yukizora,応援しています！がんばってください！
12/13/2009 1:02:22,アプロ,金星へとどけ～ミクの歌声！
12/13/2009 1:03:20,Alef_F,萌えろあかつき！
12/13/2009 1:03:34,目から鱗
12/13/2009 1:03:37,つちやともひで,届け歌声、みんなのメッセージ！
12/13/2009 1:05:24,ota1972,ΣΣ（ﾟдﾟlll）ｶﾞｶﾞｰﾝ
12/13/2009 1:05:54,kanemasa
12/13/2009 1:07:25,Akihiko Ota,抱きしめて！銀河のはちゅねまで！
12/13/2009 1:08:34,umino,響け！銀河に！
12/13/2009 1:09:05,とりまーに,頑張れ！
12/13/2009 1:10:04,トレインP,ミクがどこまで行けるのか…見届けたいです
12/13/2009 1:11:19,KK,20文字超えてた・・　がんばれ応援
12/13/2009 1:12:27,深幸,JAXAガンバレ！超ガンバレ！
12/13/2009 1:13:11,雨崎なつめ,ミクを金星に！
12/13/2009 1:14:28,きょくせん
12/13/2009 1:14:53,misty
12/13/2009 1:16:36,のれん
12/13/2009 1:17:58,ulto,初音ミク様が日本の首相になりますように！
12/13/2009 1:18:12,けいま
12/13/2009 1:18:18,kimux,金星は暑いけど負けないで！
12/13/2009 1:20:02,kz_sat,ミクが本物のビーナスに…
12/13/2009 1:20:15,foxhanger,ビーナスもみっくみく
12/13/2009 1:20:39,kou1,シーユー！がんばって！
12/13/2009 1:20:57,大澤博隆,応援しています
12/13/2009 1:21:11,tm_labo,ボカロ代表ってことで（←本当はメイコが好き）
12/13/2009 1:21:19,tty,期待してます！！
12/13/2009 1:21:35,ひよ
12/13/2009 1:21:47,かぜはき,歌姫よ宇宙へ飛び立て！
12/13/2009 1:22:47,末路,このくらいのゆるさがあった方がいいよね。
12/13/2009 1:22:50,どらんく,ワシの代わりに金星見てきておくれ
12/13/2009 1:23:33,daikichi,行ってらっしゃい！
